"201","Samalanga","13"
"202","Simpang Mamplam","13"
"203","Blang Jerango","14"
"204","Blang Kejeren","14"
"205","Blang Pegayon","14"
"206","Dabun Gelang (Debun Gelang)","14"
"207","Kuta Panjang","14"
"208","Pantan Cuaca","14"
"209","Pining (Pinding)","14"
"210","Putri Betung","14"
"211","Rikit Gaib","14"
"212","Terangun (Terangon)","14"
"213","Teripe/Tripe Jaya","14"
"214","Beutong","15"
"215","Beutong Ateuh Banggalang","15"
"216","Darul Makmur","15"
"217","Kuala","15"
"218","Kuala Pesisir","15"
"219","Seunagan","15"
"220","Seunagan Timur","15"
"221","Suka Makmue","15"
"222","Tadu Raya","15"
"223","Tripa Makmur","15"
"224","Batee","16"
"225","Delima","16"
"226","Geumpang","16"
"227","Glumpang Baro","16"
"228","Glumpang Tiga (Geulumpang Tiga)","16"
"229","Grong Grong","16"
"230","Indrajaya","16"
"231","Kembang Tanjong","16"
"232","Keumala","16"
"233","Kota Sigli","16"
"234","Mane","16"
"235","Mila","16"
"236","Muara Tiga","16"
"237","Mutiara","16"
"238","Mutiara Timur","16"
"239","Padang Tiji","16"
"240","Peukan Baro","16"
"241","Pidie","16"
"242","Sakti","16"
"243","Simpang Tiga","16"
"244","Tangse","16"
"245","Tiro/Truseb","16"
"246","Titeue","16"
"247","Bandar Baru","17"
"248","Bandar Dua","17"
"249","Jangka Buya","17"
"250","Meurah Dua","17"
"251","Meureudu","17"
"252","Panteraja","17"
"253","Trienggadeng","17"
"254","Ulim","17"
"255","Alapan (Alafan)","18"
"256","Salang","18"
"257","Simeuleu Barat","18"
"258","Simeuleu Tengah","18"
"259","Simeuleu Timur","18"
"260","Simeulue Cut","18"
"261","Teluk Dalam","18"
"262","Teupah Barat","18"
"263","Teupah Selatan","18"
"264","Teupah Tengah","18"
"265","Baiturrahman","19"
"266","Banda Raya","19"
"267","Jaya Baru","19"
"268","Kuta Alam","19"
"269","Kuta Raja","19"
"270","Lueng Bata","19"
"271","Meuraxa","19"
"272","Syiah Kuala","19"
"273","Ulee Kareng","19"
"274","Langsa Barat","20"
"275","Langsa Baro","20"
"276","Langsa Kota","20"
"277","Langsa Lama","20"
"278","Langsa Timur","20"
"279","Banda Sakti","21"
"280","Blang Mangat","21"
"281","Muara Dua","21"
"282","Muara Satu","21"
"283","Sukajaya","22"
"284","Sukakarya","22"
"285","Longkib","23"
"286","Penanggalan","23"
"287","Rundeng","23"
"288","Simpang Kiri","23"
"289","Sultan Daulat","23"
"290","Abiansemal","24"
"291","Kuta","24"
"292","Kuta Selatan","24"
"293","Kuta Utara","24"
"294","Mengwi","24"
"295","Petang","24"
"296","Bangli","25"
"297","Kintamani","25"
"298","Susut","25"
"299","Tembuku","25"
"300","Banjar","26"
"301","Buleleng","26"
"302","Busungbiu","26"
"303","Gerokgak","26"
"304","Kubutambahan","26"
"305","Sawan","26"
"306","Seririt","26"
"307","Sukasada","26"
"308","Tejakula","26"
"309","Belah Batuh (Blahbatuh)","27"
"310","Gianyar","27"
"311","Payangan","27"
"312","Sukawati","27"
"313","Tampak Siring","27"
"314","Tegallalang","27"
"315","Ubud","27"
"316","Jembrana","28"
"317","Melaya","28"
"318","Mendoyo","28"
"319","Negara","28"
"320","Pekutatan","28"
"321","Abang","29"
"322","Bebandem","29"
"323","Karang Asem","29"
"324","Kubu","29"
"325","Manggis","29"
"326","Rendang","29"
"327","Selat","29"
"328","Sidemen","29"
"329","Banjarangkan","30"
"330","Dawan","30"
"331","Klungkung","30"
"332","Nusapenida","30"
"333","Baturiti","31"
"334","Kediri","31"
"335","Kerambitan","31"
"336","Marga","31"
"337","Penebel","31"
"338","Pupuan","31"
"339","Salemadeg Barat","31"
"340","Salemadeg Timur","31"
"341","Selemadeg","31"
"342","Tabanan","31"
"343","Denpasar Barat","32"
"344","Denpasar Selatan","32"
"345","Denpasar Timur","32"
"346","Denpasar Utara","32"
"347","Bakam","33"
"348","Belinyu","33"
"349","Mendo Barat","33"
"350","Merawang","33"
"351","Pemali","33"
"352","Puding Besar","33"
"353","Riau Silip","33"
"354","Sungai Liat","33"
"355","Jebus","34"
"356","Kelapa","34"
"357","Mentok (Muntok)","34"
"358","Parittiga","34"
"359","Simpang Teritip","34"
"360","Tempilang","34"
"361","Air Gegas","35"
"362","Kepulauan Pongok","35"
"363","Lepar Pongok","35"
"364","Payung","35"
"365","Pulau Besar","35"
"366","Simpang Rimba","35"
"367","Toboali","35"
"368","Tukak Sadai","35"
"369","Koba","36"
"370","Lubuk Besar","36"
"371","Namang","36"
"372","Pangkalan Baru","36"
"373","Simpang Katis","36"
"374","Sungai Selan","36"
"375","Badau","37"
"376","Membalong","37"
"377","Selat Nasik","37"
"378","Sijuk","37"
"379","Tanjung Pandan","37"
"380","Damar","38"
"381","Dendang","38"
"382","Gantung","38"
"383","Kelapa Kampit","38"
"384","Manggar","38"
"385","Simpang Pesak","38"
"386","Simpang Renggiang","38"
"387","Bukit Intan","39"
"388","Gabek","39"
"389","Gerunggang","39"
"390","Girimaya","39"
"391","Pangkal Balam","39"
"392","Rangkui","39"
"393","Taman Sari","39"
"394","Banjarsari","40"
"395","Bayah","40"
"396","Bojongmanik","40"
"397","Cibadak","40"
"398","Cibeber","40"
"399","Cigemblong","40"
"400","Cihara","40"
"401","Cijaku","40"
"402","Cikulur","40"
"403","Cileles","40"
"404","Cilograng","40"
"405","Cimarga","40"
"406","Cipanas","40"
"407","Cirinten","40"
"408","Curugbitung","40"
"409","Gunung Kencana","40"
"410","Kalanganyar","40"
"411","Lebakgedong","40"
"412","Leuwidamar","40"
"413","Maja","40"
"414","Malingping","40"
"415","Muncang","40"
"416","Panggarangan","40"
"417","Rangkasbitung","40"
"418","Sajira","40"
"419","Sobang","40"
"420","Wanasalam","40"
"421","Warunggunung","40"
"422","Angsana","41"
"423","Banjar","41"
"424","Bojong","41"
"425","Cadasari","41"
"426","Carita","41"
"427","Cibaliung","41"
"428","Cibitung","41"
"429","Cigeulis","41"
"430","Cikeudal (Cikedal)","41"
"431","Cikeusik","41"
"432","Cimanggu","41"
"433","Cimanuk","41"
"434","Cipeucang","41"
"435","Cisata","41"
"436","Jiput","41"
"437","Kaduhejo","41"
"438","Karang Tanjung","41"
"439","Koroncong","41"
"440","Labuan","41"
"441","Majasari","41"
"442","Mandalawangi","41"
"443","Mekarjaya","41"
"444","Menes","41"
"445","Munjul","41"
"446","Pagelaran","41"
"447","Pandeglang","41"
"448","Panimbang","41"
"449","Patia","41"
"450","Picung","41"
"451","Pulosari","41"
"452","Saketi","41"
"453","Sindangresmi","41"
"454","Sobang","41"
"455","Sukaresmi","41"
"456","Sumur","41"
"457","Anyar","42"
"458","Bandung","42"
"459","Baros","42"
"460","Binuang","42"
"461","Bojonegara","42"
"462","Carenang (Cerenang)","42"
"463","Cikande","42"
"464","Cikeusal","42"
"465","Cinangka","42"
"466","Ciomas","42"
"467","Ciruas","42"
"468","Gunungsari","42"
"469","Jawilan","42"
"470","Kibin","42"
"471","Kopo","42"
"472","Kragilan","42"
"473","Kramatwatu","42"
"474","Lebak Wangi","42"
"475","Mancak","42"
"476","Pabuaran","42"
"477","Padarincang","42"
"478","Pamarayan","42"
"479","Petir","42"
"480","Pontang","42"
"481","Pulo Ampel","42"
"482","Tanara","42"
"483","Tirtayasa","42"
"484","Tunjung Teja","42"
"485","Waringin Kurung","42"
"486","Balaraja","43"
"487","Cikupa","43"
"488","Cisauk","43"
"489","Cisoka","43"
"490","Curug","43"
"491","Gunung Kaler","43"
"492","Jambe","43"
"493","Jayanti","43"
"494","Kelapa Dua","43"
"495","Kemiri","43"
"496","Kosambi","43"
"497","Kresek","43"
"498","Kronjo","43"
"499","Legok","43"
"500","Mauk","43"
"501","Mekar Baru","43"
"502","Pagedangan","43"
"503","Pakuhaji","43"
"504","Panongan","43"
"505","Pasar Kemis","43"
"506","Rajeg","43"
"507","Sepatan","43"
"508","Sepatan Timur","43"
"509","Sindang Jaya","43"
"510","Solear","43"
"511","Sukadiri","43"
"512","Sukamulya","43"
"513","Teluknaga","43"
"514","Tigaraksa","43"
"515","Cibeber","44"
"516","Cilegon","44"
"517","Citangkil","44"
"518","Ciwandan","44"
"519","Gerogol","44"
"520","Jombang","44"
"521","Pulomerak","44"
"522","Purwakarta","44"
"523","Cipocok Jaya","45"
"524","Curug","45"
"525","Kasemen","45"
"526","Serang","45"
"527","Taktakan","45"
"528","Walantaka","45"
"529","Batuceper","46"
"530","Benda","46"
"531","Cibodas","46"
"532","Ciledug","46"
"533","Cipondoh","46"
"534","Jatiuwung","46"
"535","Karang Tengah","46"
"536","Karawaci","46"
"537","Larangan","46"
"538","Neglasari","46"
"539","Periuk","46"
"540","Pinang (Penang)","46"
"541","Tangerang","46"
"542","Ciputat","47"
"543","Ciputat Timur","47"
"544","Pamulang","47"
"545","Pondok Aren","47"
"546","Serpong","47"
"547","Serpong Utara","47"
"548","Setu","47"
"549","Air Nipis","48"
"550","Bunga Mas","48"
"551","Kedurang","48"
"552","Kedurang Ilir","48"
"553","Kota Manna","48"
"554","Manna","48"
"555","Pasar Manna","48"
"556","Pino","48"
"557","Pinoraya","48"
"558","Seginim","48"
"559","Ulu Manna","48"
"560","Bang Haji","49"
"561","Karang Tinggi","49"
"562","Merigi Kelindang","49"
"563","Merigi Sakti","49"
"564","Pagar Jati","49"
"565","Pematang Tiga","49"
"566","Pondok Kelapa","49"
"567","Pondok Kubang","49"
"568","Taba Penanjung","49"
"569","Talang Empat","49"
"570","Air Besi","50"
"571","Air Napal","50"
"572","Air Padang","50"
"573","Arga Makmur","50"
"574","Arma Jaya","50"
"575","Batik Nau","50"
"576","Enggano","50"
"577","Giri Mulia","50"
"578","Hulu Palik","50"
"579","Kerkap","50"
"580","Ketahun","50"
"581","Lais","50"
"582","Napal Putih","50"
"583","Padang Jaya","50"
"584","Putri Hijau","50"
"585","Tanjung Agung Palik","50"
"586","Ulok Kupai","50"
"587","Kaur Selatan","51"
"588","Kaur Tengah","51"
"589","Kaur Utara","51"
"590","Kelam Tengah","51"
"591","Kinal","51"
"592","Luas","51"
"593","Lungkang Kule","51"
"594","Maje","51"
"595","Muara Sahung","51"
"596","Nasal","51"
"597","Padang Guci Hilir","51"
"598","Padang Guci Hulu","51"
"599","Semidang Gumai (Gumay)","51"
"600","Tanjung Kemuning","51"
"601","Tetap (Muara Tetap)","51"
"602","Bermani Ilir","52"
"603","Kebawetan","52"
"604","Kepahiang","52"
"605","Merigi","52"
"606","Muara Kemumu","52"
"607","Seberang Musi","52"
"608","Tebat Karai","52"
"609","Ujan Mas","52"
"610","Amen","53"
"611","Bingin Kuning","53"
"612","Lebong Atas","53"
"613","Lebong Sakti","53"
"614","Lebong Selatan","53"
"615","Lebong Tengah","53"
"616","Lebong Utara","53"
"617","Pelabai","53"
"618","Pinang Belapis","53"
"619","Rimbo Pengadang","53"
"620","Topos","53"
"621","Uram Jaya","53"
"622","Air Dikit","54"
"623","Air Majunto","54"
"624","Air Rami","54"
"625","Ipuh (Muko-Muko Selatan)","54"
"626","Kota Mukomuko (Mukomuko Utara)","54"
"627","Lubuk Pinang","54"
"628","Malin Deman","54"
"629","Penarik","54"
"630","Pondok Suguh","54"
"631","Selagan Raya","54"
"632","Sungai Rumbai","54"
"633","Teramang Jaya","54"
"634","Teras Terunjam","54"
"635","V Koto","54"
"636","XIV Koto","54"
"637","Bermani Ulu","55"
"638","Bermani Ulu Raya","55"
"639","Binduriang","55"
"640","Curup","55"
"641","Curup Selatan","55"
"642","Curup Tengah","55"
"643","Curup Timur","55"
"644","Curup Utara","55"
"645","Kota Padang","55"
"646","Padang Ulak Tanding","55"
"647","Selupu Rejang","55"
"648","Sindang Beliti Ilir","55"
"649","Sindang Beliti Ulu","55"
"650","Sindang Daratan","55"
"651","Sindang Kelingi","55"
"652","Air Periukan","56"
"653","Ilir Talo","56"
"654","Lubuk Sandi","56"
"655","Seluma","56"
"656","Seluma Barat","56"
"657","Seluma Selatan","56"
"658","Seluma Timur","56"
"659","Seluma Utara","56"
"660","Semidang Alas","56"
"661","Semidang Alas Maras","56"
"662","Sukaraja","56"
"663","Talo","56"
"664","Talo Kecil","56"
"665","Ulu Talo","56"
"666","Gading Cempaka","57"
"667","Kampung Melayu","57"
"668","Muara Bangka Hulu","57"
"669","Ratu Agung","57"
"670","Ratu Samban","57"
"671","Selebar","57"
"672","Singaran Pati","57"
"673","Sungai Serut","57"
"674","Teluk Segara","57"
"675","Bambang Lipuro","58"
"676","Banguntapan","58"
"677","Bantul","58"
"678","Dlingo","58"
"679","Imogiri","58"
"680","Jetis","58"
"681","Kasihan","58"
